id,ieul_店舗id,branch_id,市区町村,city_id,名前,性別,gender,年齢,住所全部,物件種別,property_type,売却回数,sales_count,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点
1,1,1,港区,708,服部 彩,女性,2,46,品川2丁目,マンション,1,初めて,1,2018-02-14,2018-03-14,2018-03-14,2019-01-14,2019-07-31,22000000,22500000,1,3,500000,17000000,2,担当者の対応が良かったです。,5,"山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。
住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。","吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事
だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ",5,"恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。
自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上","木曾路はすべて山の中である。
あるところは岨づたいに",
2,2,2,港区,708,石津 秀明,男性,1,40,赤坂2丁目,土地,3,2回目,2,2019-01-03,2019-03-25,2019-03-25,2019-03-25,2019-04-10,6500000,6500000,0,,,6500000,4,担当者の対応が良かったです。,1,"山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。
山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。
山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。","吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ
港区赤坂",4,"恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上
恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、",木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
3,3,3,港区,708,山本 孝雄,男性,1,49,六本木3丁目,戸建て,2,3回以上,3,2018-12-01,2019-01-01,2019-01-01,2019-02-01,2019-02-01,15800000,15800000,0,,,16100000,4,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにく,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじ,木曾路はすべて山の中である。あるところは岨づたい,特にないです。強いていえば誠実すぎです。
4,4,4,渋谷区,669,北澤 美帆,女性,2,41,渋谷2丁目,マンション,1,初めて,1,2018-12-01,2019-05-11,2019-05-12,2019-08-31,2019-10-25,28000000,31800000,1,2,3000000,26800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,折返しの連絡が無かったり、遅かったりすることがあったこと。
5,5,5,目黒区,671,大森 奈生子,女性,2,50,中目黒7丁目,土地,3,2回目,2,2003-01-13,2003-03-10,2003-03-10,2003-03-24,2003-03-27,12800000,12800000,1,1,500000,9800000,4,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,1,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,売却方法の選択肢をアドバイスして欲しい。
6,6,6,大垣市,994,大門 誠,男性,1,46,大井２丁目,戸建て,2,3回以上,3,2018-12-03,2019-01-10,2019-02-01,2019-04-01,2019-05-01,20300000,21000000,0,,,20000000,1,担当者の対応が良かったです。,3,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,問い合わせのレスポンスが若干遅かったのが気になりました。
7,7,7,青森市,221,吉井 正也,男性,1,55,青葉２丁目,マンション,1,初めて,1,2018-09-01,2019-01-05,2019-01-12,2019-11-29,2020-04-20,57000000,58800000,0,,,57500000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,短時間で売却出た場合、仲介手数料の割引等があってもよいのではないか。
8,8,8,南丹市,1214,山崎 泰司,男性,1,52,園部町天引向井田,土地,3,2回目,2,2018-09-01,2019-03-01,2019-10-26,2020-04-01,2020-04-01,8000000,8000000,0,,,8000000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
9,9,9,羽咋市,848,丸山 宏平,男性,1,56,大町ニ,戸建て,2,3回以上,3,2019-01-15,2019-05-13,2019-05-17,2019-10-31,2019-10-31,15000000,15000000,0,,,15000000,4,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特に無し。
10,10,10,上尾市,543,溝井 美穂,女性,2,57,仲町１丁目,マンション,1,初めて,1,2018-08-01,2019-02-16,2019-02-16,2019-06-15,2019-08-03,12000000,12000000,1,4,1000000,11000000,2,担当者の対応が良かったです。,99,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありませんでした。
